序号	年级	章节	涉及模块	题目	答案	答题过程
1206	四年级			在440米的环形跑道上，甲、乙两人同时从起跑线出发，甲每秒跑5米，乙每秒跑6米． 如果他们反向而跑，　   　秒相遇．	40	（1）440÷（5+6）， ＝440÷11， ＝40（秒）； 答：如果他们反向而跑，40秒相遇．
876	五年级	第二十六讲	带余除法	一个自然数除以8得到的商加上这个数除以9的余数，其和是13.求所有满足条件的自然数.	1993	先求a, 依题意[(8a+7)×8+1]×8+1=(17×2a+15)×17+ 4, 整理得 512a+457=578a+259.即66a=198, 所以a=3, 于是原数=[(8a+7)×8+1]×8+1=1993.
1270	四年级			小巧花了660元买了若干张4元和8元的世博邮票．若8元邮票的张数比4元邮票的张数多30张，那么小巧共买了　   　张邮票．	100	解：设4元的邮票有x张，则8元的邮票有x+30张， 4x+8（x+30）＝660 x＝35 35+30＝65（张） 35+65＝100（张） 答：小巧共买了 100张邮票． 故答案为：100．
1094				12．（5分）一批学生参加植树活动，若1名女生和2名男生分为一组，则多15名男生；若1名女生和3名男生分为一组，则多6名女生．那么，参加植树活动的男生有　   　名，女生有　   　名．	81，33	【解答】解：（15+6×3）÷（3﹣2） ＝（15+18）÷1 ＝33÷1 ＝33（组）； 33×1＝33（名） 33×2+15 ＝66+15 ＝81（名）； 答：男生有81名，女生有33名． 故答案为：81，33．
1156				11．王华每星期二、六学书法，已知2016年的元旦是星期五，那么在2016年8月，王华学书法的天数是　   　．	9	【解答】解：依题意可知： 2016年的前七个月的天数为31+29+31+30+31+30+31＝213（天）； 213÷7＝30…3． 那么在8月1日是星期一．8月份是31天，在4周内共8天，之后还有最后星期二共9天． 故答案为：9
1281	五年级			五个数中，任取四个数的平均数再加上余下的一个数，所得的和分别是74、80、98、116、128，那么五个数中的最小数比最大数小　   　．	72	解：（128×4﹣74×4）÷3 ＝（512﹣296）÷3 ＝216÷3 ＝72； 答：五个数中的最小数比最大数小是72． 故答案为：72．
1840	四年级			\begin{aligned}   &\text{一条长为 } 78 \ \text{厘米的铁丝，每隔 } 3 \ \text{厘米涂一个红点。将此铁丝在红点处折弯，} \\    &\text{形成一个长方形。那么，围成的长方形的面积最大是} \ \underline{\quad} \ \text{平方厘米。}   \end{aligned}	378	\begin{aligned}   &78 \div 3 = 26 \ \text{段}; \\    &\text{长} + \text{宽} = 26 \div 2 = 13; \\    &\text{当长} = 7 \ \text{段} = 21 \ \text{厘米，宽} = 6 \ \text{段} = 18 \ \text{厘米时，} \\    &\text{围成的长方形的面积最大，} \ 21 \times 18 = 378 \ \text{平方厘米。}   \end{aligned}
500				欢欢、乐乐、洋洋参加希望之星决赛，有 200 位评委为他们投了支持票，每位评委只能  投一票．如果欢欢和乐乐所得票数的比是 3 : 2 ，乐乐和洋洋所得票数的比是 6 : 5 ，那么欢欢、 乐乐、洋洋各得了多少票？	90，60，50	【分析】欢欢、乐乐、洋洋所得票数之比是9 : 6 : 5 ．欢欢票数： 200 × 9/（9+6+5）=90 （票）； 乐乐票数： 200 ×6/（9+6+5）=60 （票）   洋洋票数： 200 ×5/（9+6+5）=50 （票）
339	四年级	第十讲	应用题综合二	 丁丁和爸爸、妈妈在公园里玩跷跷板，爸爸体重为72千克，坐在跷跷板的一端，体重只 有妈妈一半的丁丁和妈妈同坐在跷跷板的另一端，这时，爸爸坐的一端仍然着地；丁丁 借来一个重量为6千克的哑铃，加在他和妈妈坐的一端，结果丁丁这一端着地.如果丁 丁的体重是整数千克，那么丁丁的体重是几千 克 . 	23	根据题意知道爸爸的体重比丁丁的三倍重.72÷3=24,所以丁丁的体重小于24千 克；加上6千克的哑铃后，(72-6)÷3=22(千克),丁丁的体重大于22千克，乂丁丁的体重是整 数千克，所以为23千克.
1189				2．（5分）有15个数，他们的平均数是17，加入1个数后，平均数变为20，则加入的数是　   　．	65	【解答】解：16×20﹣15×17 ＝320﹣255 ＝65 答：加入的数是65． 故答案为：65．
29	六年级	第九讲	比例应用题	今年儿子的年龄是父亲年龄的1/4,15年后，儿子的年龄是父亲年龄的5/11，今年儿子      岁。	10	今年儿子和父亲的年龄比为1:4=2:8,15年后儿子和父亲的年龄比为5:11,所以儿子今年15÷(5-2)×2=10(岁).
1218	四年级			一列火车长800米，它通过路边的一棵大树用了2分钟；它用同样的速度通过一座大桥用了5分钟，这座大桥长　   　米．	1200	800÷2×（5﹣2）， ＝400×3， ＝1200（米）； 答：这座大桥长1200米． 故答案为：1200．
1245	四年级			20092009×2010﹣20102010×2009=；　   　	0	20092009×2010﹣20102010×2009， ＝2009×10001×2010﹣2010×10001×2009， ＝0．
1715				“鲁别克”是二战时期著名的坦克大战的战场，据统计共115辆坦克，德军坦克数量比盟军的2倍多2辆，而盟军的坦克数量比三连的3倍多1辆。请问：德军比三连多____辆坦克。	59	题目没太说清楚三连是什么，只能把“德国”、“盟军、“三连”当作3人处理。设三连有坦克x辆，则盟军的坦克数为(3x+1)辆，德军的坦克数为[2(3x+1)+2]辆。 [2(3x+1)+2]+(3x+1)+x=115，解得x=11， 德军坦克数为：2×(3×11+1)+2=70（辆），所以德军比三连多：70-11=59（辆）。  
946				37. 某市的电话号码有8位，电话号码的前两位数字代表管辖该号码所在区域的电话分局，后六位数字代表号码，如41323678，表示41分局，号码是323678。那么，41分局所管辖区域的电话号码最多有____个。	1000000	37. 电话号码的前两位数字已定，后六位数字可在0～9这10个数字中选择，由乘法原理可知，41分局所管辖区域的电话号码最多有10×10×10×10×10×10=1000000（个）。
170	六年级	第二十四讲	最值问题	四个非零自然数的和为38,这四个自然数的乘积的最大值是几 	8100	9×9×10×10=8100. 
1320	五年级			439×319×2012+2013 被7 除的余数是　   　．	1	解：（439×319×2012+2013）÷7， ＝（439×319×2012+2012+1）÷7， ＝[2012×（439×319+1）+1]÷7， ＝[2012×140042+1]÷7， 因为140042能被7整除，所以2012×140042的乘积能被7整除，1除以7余数是1，所以439×319×2012+2013 的和被7除的余数是1； 故答案为：1．
1198				16．（15分）商店推出某新款手机的分期付款活动，有两种方案供选择． 方案一：第一个月付款800元，以后每月付款200元． 方案二：前一半的时间每月付款350元，后一半的时间每月付款150元． 两种方案付款总数与时间都相同，求这款手机的价格．	3000	【解答】解：根据分析，设时间为x个月，则方案一中手机的费用为：800+（x﹣1）×200＝200x+600（元）； 方案二中手机的费用为：350× x+150× x＝250x（元），因两种方案中手机的价格是一样的，故有： 200x+600＝250x，解得：x＝12，故付款总价格为：250×12＝3000元． 故答案是：3000．
913				有两匹马和一副鞍，白马配鞍售价800元，黑马配鞍售价600元，两匹马售价1000元，那么一副鞍售价______元。	200	已知白马配鞍售价800元，黑马配鞍售价600元，那么两匹马和两副鞍售价800+600=1400(元)，而两匹马售价1000元，所以两副鞍售价1400-1000=400(元)，一副鞍售价400÷2=200(元)。
492				参加体操、武术、钢琴、书法四个兴趣小组的学生中，每人最多可以参加两个兴趣 小组． 为了保证所选兴趣小组的情况完全相同的学生不少于 6 人，则参加兴趣小组的学生至少有  多少                  人 .	51	参加一个小组有 4 种情况，参加两个不同小组有C  = 6 种情况，共 10 种，再利用最不利原则，参加学生至少10×5 + 1 = 51 人.
954				45. 某个月的星期天的日期数有3个是奇数，星期六的日期数有3个是偶数，则这个月的28日是星期____。	天	44. 同一月份的两个相邻星期天的日期数一奇一偶，如果某月内有3个星期天的日期数是奇数，那么这个月共有5个星期天。
1098				16．（15分）李叔叔承包了12亩水稻田，亩产量是660千克．林阿姨比李叔叔少承包2亩水稻田，水稻的总产量比李叔叔的少420千克．问： （1）李叔叔的水稻总产量是多少千克？ （2）李叔叔的水稻亩产量比林阿姨的少多少千克？	7920；90	【解答】解：（1）660×12＝7920（千克）； 答：李叔叔的水稻总产量是7920千克．  （2）（7920﹣420）÷10 ＝7500÷10 ＝750（千克） 750﹣660＝90（千克）； 答：李叔叔的水稻亩产量比林阿姨的少90千克．
1033		2011二试		1．（5分）计算：（70÷4+90÷4）÷4＝　   　．	10	【解答】解：根据分析，原式＝（70÷4+90÷4）÷4 ＝（70+90）÷4÷4 ＝160÷4÷4 ＝40÷4 ＝10． 故答案是：10．
588	六年级	第12届	排列组合	连续的5个自然数24，25，26，27，28有一个共同性质：它们都是合数。我们把这样5个连续自然数称为长度为5的连续合数组。试再写出一个长度为5的连续合数组 ______ .	32	答案不唯一，合理即可。
751	五年级	第十四讲	工程问题	一批零件由甲、乙两人合作，30天可以完成.现在由甲先制作22天，两人再合作12天， 剩下的零件还需要乙单独制作16天才能完成.又知甲每天比乙少生产4个零件，照这样完成任 务，乙共做了        个零件.	224	两人合作(3 0 - 1 2 )天=甲单独制作2 2天+乙单独制作1 6天=合作16天+甲单 独制作6天 . 合 作2天 =甲 单独 做2天 +乙 单独 做 2天=甲 单独 做 6天 ，所 以 甲做 4天 =乙 做2天 . 甲 每天比乙少做四个，所以甲每天做4个，乙做8个. 这时，乙工作了28天，共做了28×8=224(个).
658				在小数3.1415926的两个数字上方加2个循环点，得到循环小数，这样的循环小数中， 最小的是__________．	3.1415926,以1415926为循环	数字6必加循环点，否则得不到循环小数，然后枚举．
235	六年级	第二讲	四则运算	(1-1/2+1/3-1/4+1/5+…+1/19-1/20)/[1/(1+21)+1/(2+22)+…+1/(10+30)]=     	2	原式=[(1+1/2+1/3+…+1/20)-2×(1/2+1/4+1/6+…+1/20)]/(1/22+1/24+…+1/40)           =[(1+1/2+1/3+…+1/20)-(1+1/2+1/3+…+1/10)]/[1/2×(1/11+1/12+…+1/20)] =(1/11+1/12+…+1/20)/[1/2×(1/11+1/12+…+1/20)]                                      =2
733	五年级	第十讲	排列与组合	如果一个自然数中任一数位上的数字都大于其左边的每个数字，则称这个数是“上升 数”.由1,2,3,4,5这5个数字组成的4位数中“上升数”共有        个 .	5	根据题意，其实就从5个数中选出4个，C=5.
1870	三年级			\text{有 } 9 \ \text{个人在山中迷了路，带他们所带的食物只够维持 } 5 \ \text{天，} \\ \text{一天后，这 } 9 \ \text{个人遇到另一队迷路的人，那队人一点食物也没有。} \\ \text{经计算，如果两队人合吃食物，每人每天吃的食物量不变，} \\ \text{只够他们再维持 } 3 \ \text{天，那么第二队迷路的人有（\quad）人。}	3	\text{不妨设每人每天所吃食物为 } 1 \ \text{份，则原有食物 } 45 \ \text{份。} \\ \text{1 天后，还剩 } 36 \ \text{份，若能吃 } 3 \ \text{天，则每天吃 } 36 \div 3 = 12 \ \text{份，} \\ \text{即此时共有 } 12 \ \text{人，所以第二队迷路的人有 } 3 \ \text{人。}
1541				一个长方体，棱长都是整数厘米，所有棱长之和是 88 厘米，问这个长方体总的侧面积最大是　　平方厘米．	224	解：长宽高的和是：88÷4＝22（厘米）， 长方体的总侧面积最大，长宽高的长度必须最接近，即22＝8+7+7， （7+7）×2×8 ＝28×8 ＝224（平方厘米）； 答：这个长方体的总侧面积最大是224平方厘米． 故答案为：224．
1157				13．若六位数a2016b能被12整除，则这样的六位数有　   　个．	9	【解答】解：判断能否被4整除看后两位能够被4整除．即后两位数字是 ①60时，2+0+1+6+0＝9，∴a的值可以是3，6，9共3个． ②64时，2+0+1+6+4＝13，∴a的值可以是2，5，8共3个． ③68时，2+0+1+6+8＝17，∴a的值可以是1，4，7共3个． 故答案为：9个
1384				分别写有 1、2、3、4、5 的五张纸片，从小到大正面向上，摞成一摞．现在将 1、3 和 5 反面后，仍放在原来位置．将整摞纸片从任一张纸片分成两摞，将上一摞整摞反转后再放在下一摞上，或者把 5 张纸片整摞反转，算是一次“反转”．若要使上述摆放的五张纸片都转变成正面向上的状态，则至少要进行　　次“反转”．（有数字的面为正面）	5	解：如果把整摞纸片看成为，每一部分都是同方向的：“子摞”而成，因此原来的整摞纸片有5摞纸片组成， 一次“反转”只能从一张纸片开始，把上部分最上面的纸片与下部分的上面第一张纸片相邻，中间次序没有发生变化，一次反正后“子摞”数只会出现三种情况：增加1，不变，减少1，并且整摞反转时，“子摞”数目，不会发生变化． 按照要求，要把5变成正面向上，一定有一次5张纸片一次反转，而整摞的数码保持不变，要把5个“子摞”变成一个子摞，至少“反转”4次，因此，至少反转5次， 下面说明5次可以保证5张纸片都是正面向上的状态：即：先将1先“反转”，再将1和2同时反转，依次再反转2，1，3，再反转3，1，2，4，最后反转4，2，1，3，5就全都正面向上了，共5次，（此种反转为其中一种）， 故答案为：5．
1537				妈妈决定假期带小花驾车去10个城市旅游，小花查完地图后惊奇地发现：这10个城市的任意三个城市之间或者都开通了高速公路，或者只有两个城市间没有开通高速路，那么这10个城市间至少开通了　　条高速公路．（注：两个城市间最多只有一条高速公路）	40	解：8×10÷2＝40（条） 答：那么这10个城市间至少开通了40条高速公路． 故答案为：40．
935				26. 用54除一个数余38，如果用18除这个数，余数是____。	2	26. 54是18的3倍，所以用18除这个数所得的余数等于38除以18的余数。38÷18=2……2，余数是2。
1210	四年级			学校组织春游，租船让学生划．每条船坐3人，有16人没有船坐；如果每条船坐5人，则有一条船上差4人．学校共有学生　   　人．	46	船：（16+4）÷（5﹣3）， ＝20÷2， ＝10（条）； 学生：3×10+16＝46（人）； 答：学校共有学生46人． 故答案为：46．
1066				9．（5分）将11个球分别放在三个盒子里，使盒子里球的个数彼此不同，那么，放球最多的盒子里最多可放　   　个球，至少要放　   　个球．	8，5	【解答】解：11﹣1﹣2＝8（个）， 答：将11个球分别放在三个盒子里，使盒子里球的个数彼此不同，那么，放球最多的盒子里最多可放 8个球，要是最多的尽量少，应该相互接近，放2，3，4，只能放下11个球，最多的至少放5个．故答案为：8，5．
109	六年级	第十四讲	行程综合 	从甲地到乙地的公路，只有上坡路和下坡路，没有平路，一辆汽车上坡时每小时行驶20千米，下坡时每小时行驶35千米，车从甲地开往乙地需9小时，从乙地到甲地需7.5小时. 问： 甲、乙两地间的公路有多少千米?	210	汽车往返甲乙两地共用时为为9+7.5=16.5(小时),且上坡的总路程与下坡的总 路程相同都等于甲乙两地间的路程. 由于每千米上坡路费时1/20小时，每千米下坡路费时1/35小时， 从而从甲地到乙地的路程等于（16.5）/（1/20+1/35）=210千米 
1454				有一行数：1，1，2，3，5，8，13，21，…，从第三个数开始，每个数都是前两个数的和，问在前2007个数中，有　　是偶数．	699	解：2007÷3＝669， 又因为，每一个循环周期中有2个奇数，1个偶数， 所以前2007个数中偶数的个数是：1×669＝669； 答：前2007个数中，有699是偶数． 故答案为：699．
569	五年级	第9届	等量代换	用大小两辆火车运煤，大货车运了9次，小货车运了12次，一共运了180吨。大货车的载重量等于小货车载重量的2倍，大货车的载重量为____吨，小货车的载重量为____吨。	1. 12 2. 6	本题是等量代换及和倍问题。由“大货车的载重量等于小货车载重量的2倍”得“大货车运了9次”相当于“小货车运了 9×2=18次”，则这180吨货物可用小货车运 12+18=30次，则小货车每次运 180÷30=6 吨，大货车每次运 6×2=12 吨。
1168				8．（5分）两个数的和是363，用较大的数除以较小的数，得商16余6，则这两个数中较大的是　   　．	342	【解答】解：（363﹣6）÷（16+1） ＝357÷17 ＝21 363﹣21＝342 答：两个数中较大的一个是342． 故答案为：342．
1175				2．（10分）定义新运算：a△b＝（a+b）×b，a□b＝a×b+b，如：1△4＝（1+4）×4＝20，1□4＝1×4+4＝8，按从左到右的顺序计算：1△2□3＝　   　．	21	【解答】解：依题意可知： a△b＝（a+b）×b得1△2＝（1+2）×2＝6 a□b＝a×b+b得6□3＝3×6+3＝21 故答案为：21
891	五年级	第二十七讲	完全平方数	如果一个两位数与它的反序数(比如52的反序数是25)的和是一个完全平方数，那么就 称它为“灵巧数”.请写出所有的“灵巧数”.	29,92,38,83,47,74,56,65	由于ab+ba=11(a+b) 是一个完全平方数，a+b 必是11的倍数. 由a+b≤18，得a+b=11, 进而分拆11得到上述答案.
948				39. 小林有2件上衣，4条裤子，3双皮鞋，她能有____种不同的穿戴形式。	24	39. 由乘法原理知，小林不同的穿戴形式有2×4×3=24（种）。
1049				7．（3分）一个口袋中有5枚面值1元的硬币和6枚面值5角的硬币，小明随意从袋中摸出6枚，那么这6枚硬币的面值的和有　   　种．	6	【解答】解：由以上分析，得出下列情况： 这6枚硬币的面值的和有6种． 故答案为：6．
1271	四年级			某月有3个星期日的日期是偶数，这个月的1日是星期　   　．	六	解：假设某月的一个星期天的数字是偶数，那么下一个星期天必为奇数；如此类推，如果要满足某个月内有三个偶数数字的星期天，那么这个月须有5个星期天；这个月的1号是星期六，否则不符合题意． 故答案为：六．
1289	四年级			爸爸比儿子大24岁，今年爸爸的年龄是儿子的五倍，　   　年后爸爸的年龄是儿子的三倍．	6	解：根据题意，由差倍公式可得： 今年爸爸的年龄是儿子的五倍时，儿子的年龄是：24÷（5﹣1）＝6（岁）； 爸爸的年龄是儿子的三倍时，儿子的年龄是：24÷（3﹣1）＝12（岁）； 12﹣6＝6（年）． 答：6年后爸爸的年龄是儿子的三倍． 故答案为：6．
1361	四年级			王老师给小朋友们分香蕉．如果每人分3根，则多4根；如果每人分4根，还少3根．那么共有　   　个小朋友．	7	解： 4+3＝7（根） 7÷（4﹣3）＝7（个） 故填7．
885	五年级	第二十六讲	带余除法	三个数：23、51、72,各除以大于1的同一个自然数，得到同一个余数，则这个除数是	7	51-23=28,72-51=21,(28,21)=7,所以这个除数是7
1680				记号[a]表示不超过的最大整数，例如[17/5]=3，[0.888…]=0，  那么[1/100]+[2/100]+[3/100]+…+[865/100]=____。	3328	[1/100]至[99/100]这99个数的值均为0 [100/100]至[199/100]这100个数的值均为1 [200/100]至[299/100]这100个数的值均为2 [300/100]至[399/100]这100个数的值均为3 [400/100]至[499/100]这100个数的值均为4 [500/100]至[599/100]这100个数的值均为5 [600/100]至[699/100]这100个数的值均为6 [700/100]至[799/100]这100个数的值均为7 [800/100]至[865/100]这666个数的值均为8 所以，原式=100×(1+2+3+4+5+6+7)+66×8=3328
851	五年级	第二十五讲	因数与倍数	你能在3×3的方格表中填入彼此不同的9个自然数(每个格子里只填一个 数),使得每行、每列及两条对角线上三个数的乘积都等于2005吗?若能，请填出一例；若不能， 请说明理由.	不能	如果能填，则填入的彼此不同的9个自然数将是2005的9个彼此不同的因数，然 而2005的彼此不同的因数只有1、5、401、2005这4个，故不能.
735	五年级	第十讲	排列与组合	将 A、B、C、D、E、F、G七位学生在操场排成一列，其中学生B 与C  必须相邻.请问共有多 少种不同的排列方法?	1440	捆绑法.将B、C看成一个人和其他五人一起排，最后再确定B、C的 顺 序 ，A×A =1440
718	五年级	第四讲	数列	将分数3/7化成小数后，小数点后面第2011位上的数字是______，从小数点后第1位到第2011位的所有数字之和是______。	4;9049	因为3÷7=0 .42857i,6 个数字为一个循环， 117 答 案 又2011÷6=335……1, 所以，小数点后面第2011位上的数字是4. 因为(4+2+8+5+7+1)×335+4=9049, 所以，从小数点后第1位到第2011位的所有数字之和是9049.
455	四年级	第二十二讲	数字最值	红、黄、蓝3种颜色的球分别有11、12、17个，每次操作可以将2个不同颜色的球换成2 个第三种颜色的球，则在操作过程中，红色球至多有 几个.	39	每次操作，黄球和蓝球的差要么不变.要么改变3. 刚开始时，黄球和蓝球的差不是3的倍数，可知，每次操作后黄球和蓝球的差都不是3的倍 数.所以，黄球和蓝球的个数不能同时为0.黄球和蓝球的总和至少是1. 下面构造说明红球最多可以有39个. (括号内三个数依次表示红、黄、蓝3种颜色的球的个 数 ) (11,12,17)→(10,14,16)→(9,16.15)→(11,15,14)→(13,14,13)→(15,13,12)→ (17,12,11)→ (19.11,10)→…→ (39,1,0)
265	四年级	第三讲	小数计算	把一个小数的小数部分扩大4倍，这个小数就变成6.6;把这个小数部分扩大8倍，这个小数变成9.2.原来这个小数是         一	4.65	设原来这个小数为x, 则有x=[x]+{x}, 根据题意有 [x]+4{x}=6.6, ① [x]+8(x}=9.2, ② ② - ①得 4{x}=9.2-6.6 {x}=0.65 代入①得[x]=4 所以原来的小数是4.65. 
76	六年级	第十一讲	浓度与经济	农科所向农民推荐丰收I  号和丰收Ⅱ号两种新型良种稻谷.在田间管理和土质相同的 情况下，Ⅱ号稻谷单位面积的产量比I  号稻谷低20%,但Ⅱ号稻谷的米质好，价格比I  号稻谷 高. 已知政府对I 号稻谷的收购价是1.6元/千克.去年王伯伯在土质和面积相同的两块田里分别种植I号、Ⅱ号稻谷，并且进行了相同的田间管理.收获后，王伯伯把稻谷全部卖给政府.卖给政府时，Ⅱ号稻谷的收购价为2.2元/千  克，I号稻谷的收购价不变，这样王伯伯卖Ⅱ号稻谷比卖I号稻谷多收入1040元.求王伯伯去年卖给政府的稻谷共有多少千克?	11700千克	Ⅱ号稻谷有1040÷(2.2-2)=5200(千克),所以I号稻谷有5200÷4×5=6500(千克)，所以共有5200+6500=11700(千克).
1566				中国北京在2015年7月31日获得了2022年第24届冬季奥林匹克运动会的主办权．预定该届冬奥会的开幕时间为2022年2月4日，星期　　．（今天是2016年3月12日，星期六）	五	解：依题意可知： 平年365天是52个星期多1天．润年是52个星期多2天． 2016年3月12到2022年3月12日经过了5个平年1个闰年，向后推的天数为1+1+1+1+1+2＝7．恰好为星期六． 那么2022年的2月4日到2022年的3月12日．经过24+12＝36天． 36÷7＝5…1．从星期六前推前天． 说明2022年的2月4日是星期五． 故答案为：五
445	四年级	第二十二讲	数字最值	 有一个奇妙的国家，叫“一O 国”.他们只有1和0两个数字.所以，当遇到比较大的数时， 他们就要用好多个1和0组合相加来表示. 比如说：12可以表示成三个数的和  10+1+1,也可以表示成两个数的和11+1.那么在“一〇国” .20120204最少要用几个数相加来表示	4	因为20120204各位数字中最大的数字为4.因此最少要用4个数相加，例如： 20120204=10110101+10010101+1+1
396	四年级	第十三讲	追及问题	   小明和小刚清晨来到学校操场练习跑步，学校操场是400米的环形跑道，小刚对小明 说：“咱们比比看谁跑的快”,于是两人同时同向起跑，结果10分钟后小明第一次从背后 追上小刚，同学们一定知道谁跑得快了，小明的速度是每分钟跑140米，那么当小明第3 次从背后追上小刚时，小刚一共跑了 几米 .	3000	速度差为400÷10=40(米/分),所以小刚的速度为140-40=100(米/分),第三次 追上小刚时，小刚一共跑了10×3=30(分钟),共跑了100×30=3000(米).
177	六年级	第二十五讲	最值问题	下列算式中，abcde表示一个五位数，fghi 表示一个四位数，不同的字母代表1到9的数字，如果abcde×fghi>80000000, 求满足以上条件的abcde与fghi 的和的最小值.	18837	为求abcde+fghi的最小和，首先让位数高的尽可能的小.则令a=1.当 b+f一定时，乘积要尽量大，则f要大b 要小，所以b=2, 由乘积大于80000000,可知f=6 或 f=7.对和 进行分析可知，当f=6 时和的最大值与f=7  时和的最小值相等，所以f=6; 现在要令12cde+  6ghi 尽可能的小，当两数之和一定时，两数之差越小，积越大.因为12358×6479>80000000.此 时它们的和为18837.
1043				13．（15分）摩托车行驶120千米与汽车行驶180千米所用的时间相同，7小时内摩托车行驶的路程比6小时内汽车行驶的路程少80千米，若摩托车先出发2小时，然后汽车从同一出发点开始追赶，那么汽车出发后几小时内可以追上摩托车？	4	【解答】解：依题意可知： 摩托车速度：汽车的速度＝120：180＝2：3． 每一份的路程为：80÷（3×6﹣2×7）＝20（千米）． 摩托车7小时的路程为：20×7×2＝280（千米）．摩托车的速度为：280÷7＝40（千米/小时）． 汽车6小时的路程为：20×6×3＝360（千米）．汽车的速度是：360÷6＝60（千米/小时）． 40×2÷（60﹣40）＝4（小时） 答：那么汽车出发后4小时内可以追上摩托车．
1640				一辆巴士和一辆卡车分别从甲、乙两地同时开出，相向而行。两车经过6小时相遇，相遇时巴士距乙地240km。巴士到达乙地休整一小时后返回甲地。已知卡车从乙地到甲地用了15小时，且卡车到达甲地也休整一小时后才返回乙地。请问，两车从第一次相遇到第二次相遇经过了几个小时？	13	行程问题。 从出发到第一次相遇一共了1个全程； 从出发到第二次相遇一共了3个全程； 因为两车速度不变； 所以两车从第一次相遇到第二次相遇经过了 6×3−6+1=13 个小时。
1317	四年级			有长度分别是1厘米、2厘米、3厘米、4厘米、5厘米、6厘米、7厘米、8厘米、9厘米的小木棒各一根，从中选择若干根小木棒拼成一个正方形（不许折断），一共有多少种不同的拼法？请画出其中的四种拼法，标出小棒的长度．	9	解：1+2+…+9＝45， 小于45的4的倍数有，4，8，12，16，20，24，28，32，36，40，44， 所以相对应的正方形的边长应为1厘米，2厘米，3厘米，4厘米，5厘米，6厘米，7厘米，8厘米，9厘米，10厘米，11厘米． 根据题意分析可得，利用题干中的小棒能拼出的正方形只有边长为7厘米；8厘米；9厘米；10厘米，11厘米， 边长7厘米：7、1+6、2+5、3+4 可组成一种正方形 边长8：8、1+7、2+6、3+5 可组成一种正方形 边长9：9、1+8、2+7、3+6、4+5 可组成五种正方形 边长10：1+9、2+8、3+7、4+6 可组成一种正方形 边长11：2+9、3+8、4+7、5+6 可组成一种正方形 一共可组成9种． 答：共有9种拼法．
1297	四年级			在一个停车场，共有24辆车，其中汽车是4个轮子，摩托车是3个轮子，这些车共有86个轮子，那么三轮摩托车有　   　辆．	10	解：假设24辆全是4个轮子的汽车，则三轮车有： （24×4﹣86）÷（4﹣3）， ＝10÷1， ＝10（辆）， 答：三轮车有10辆． 故答案为：10．
596	六年级	第10届	和倍问题	有五个互不相等的非零自然数。如果其中一个减少45，另外四个数都变成原先的2倍，那么得到的仍然是这五个数。这五个数的总和是 ______ .	93	如果一开始的五个数分别是1、2、4、8、16，则将16减少15后，将其他四个数都乘以2，可以仍然得到这5个数。而 45 ÷ 15 = 3，所以原来的五个数是1、2、4、8、16的3倍，总和为 31 × 3 = 93.  假设五个数：a > b > c > d > e 由题意，  a - 45 = e, d = 2e, c = 2d, b = 2c,  ∵ a - 45 + 2b + 2c + 2d + 2e = a + b + c + d + e  ∴ b + c + d + e = 45  代入 d = 2e, c = 4e, b = 8e 得：  15e = 45 e = 3  d = 6, c = 12, b = 24, a = 48,  a + b + c + d + e = 48 + 24 + 12 + 6 + 3 = 93.
62	六年级	第十一讲	浓度与经济	购买3斤苹果，2斤橘子需6.90元；购8斤苹果，9斤橘子需22.80元，那么苹果、橘子 各买1斤需       元.	2.7	买3+8斤苹果和2+9斤橘子需6.9+22.8=29.7(元).所以各买1斤需要29.7÷11=2.7(元).
873	五年级	第二十六讲	带余除法	学校运动会开幕式的旗手排成一行，首先从左向右1至3循环报数，最右端的旗手报2; 然后从右向左1至4循环报数，最左端的旗手报3,两次都报1的旗手有12人.那么,开幕式一 共有旗手        人.	143	因为3和4的最小公倍数是12,从左至右每12人两次报数的情况重复一次.从左 至右前12人两次报数的情况是 第 一 次 报 数 ： 1 2 3 1 2 3 1 2 3 1 2 3 第 二 次 报 数 ： 3 2 1 4 3 2 1 4 3 2 1 4 则旗手一共有12×12-1=143(人).
1403				编号从1到50的50个球排成一行，现在按照如下方法涂色：（1）涂2个球；（2）被涂色的2个球的编号之差大于2．如果一种涂法被涂色的两个球与另一种涂法被涂色的两个球至少有一个是不同号的，这两种涂法就称为”不同的”．那么不同的涂色方法有　　种．	1128	解：设被涂色的球中的小号码为K，1≤K≤50﹣3＝47， 则另一个被涂色的求的号码可能是K+3，…50； 一共有50﹣（K+2）＝48﹣K种不同涂法，K可以取值1，2，…47； 那么总共有： （48﹣1）+（48﹣2）+（48﹣3）+…+（48﹣47） ＝1+2+…+47 ＝（1+47）÷2×47 ＝24×47 ＝1128 答：那么不同的涂色方法有 1128种． 故答案为：1128．
1767	六年级	2012年广东省奥校小升初		在算式 4×7+40÷8+9 中添加小括号，计算出的最小结果是（ ） A. 1 B. 2 C. 3 D. 4 E. 5	D	由于式中数据都是大于 1 的整数，所以要想这个算式的值最小，就要使式中乘数尽量小，除数尽量大，所以加括号后的算式为：（4×7+40）÷（8+9）。 解：要使 4×7+40÷8+9 计算出的结果最小，那么算式变成： （4×7+40）÷（8+9）， =（28+40）÷（8+9）， =68÷17， =4； 最小结果是 4
